,T_PV,I,T_mt,Do_am
119700,26.06,2.5,29.8,72
119760,26.06,0,29.8,72
119820,26.06,0,29.8,72.2
119880,26.06,0,29.8,72
119940,26.06,0,29.8,72.1
120000,26.06,0,29.8,72.2
120060,26,0,29.8,72.1
120120,26.06,0,29.8,72.1
120180,26,0,29.8,72.4
120240,26,0,29.8,72.4
120300,26,0,29.8,72.4
120360,26,0,29.8,72.4
120420,26,0,29.8,72.5
120480,26.06,0,29.8,72.5
120540,26,0,29.8,72.4
120600,26,0,29.8,72.5
120660,26,0,29.8,72.5
120720,26,0,29.8,72.5
120780,26,0,29.8,72.5
120840,26,0,29.8,72.5
120900,26,0,29.8,72.5
120960,26,0,29.8,72.4
121020,26,0,29.8,72.4
121080,25.94,0,29.8,72.5
121140,25.94,0,29.7,73.5
121200,25.69,0,29.7,74.7
121260,25.62,0,29.7,74.9
121320,25.5,0,29.7,75.5
121380,25.44,0,29.6,74.9
121440,25.31,0,29.5,75
121500,25.25,0,29.5,75.4
121560,25.25,0,29.4,76.3
121620,25.25,0,29.4,75.9
121680,25.25,0,29.4,76.6
121740,25.25,0,29.3,76.5
121800,25.25,0,29.2,76.3
121860,25.12,0,29.2,76.4
121920,25.12,0,29.2,76.8
121980,25.12,0,29.2,76.5
122040,25.19,1.67,29.2,76.7
122100,25.19,1.67,29.2,76.3
122160,25.19,1.67,29.2,76.6
122220,25.12,2.5,29.1,76.2
122280,25.19,2.5,29.1,76.4
122340,25.19,2.5,29.1,76.7
122400,25.19,2.5,29.1,76.7
122460,25.19,2.5,29.1,77
122520,25.25,2.5,29.1,76.9
122580,25.25,2.5,29.1,76.5
122640,25.25,2.5,29.2,76.6
122700,25.25,3.33,29.1,75.8
122760,25.31,3.33,29.1,75.5
122820,25.31,3.33,29.1,75.4
122880,25.37,3.33,29.1,75.5
122940,25.31,0,29.1,75.4
123000,25.37,0,29.1,75.4
123060,25.37,0,29.2,75.2
123120,25.37,0,29.2,75.3
123180,25.44,0,29.2,75
123240,25.44,0,29.2,75
123300,25.44,0,29.2,74.9
123360,25.44,0,29.2,74.9
123420,25.5,0,29.3,74.5
123480,25.5,0,29.2,74.5
123540,25.56,0,29.3,74.5
123600,25.56,0,29.3,74.2
123660,25.56,0,29.3,74.3
123720,25.56,0,29.3,74.2
123780,25.62,0,29.3,74.1
123840,25.56,0,29.4,74.2
123900,25.56,0,29.4,74
123960,25.62,0,29.4,73.8
124020,25.62,0,29.4,73.9
124080,25.62,0,29.4,73.9
124140,25.62,0,29.4,73.9
124200,25.62,0,29.4,74.1
124260,25.62,0,29.4,74
124320,25.62,0,29.4,73.9
124380,25.62,0,29.4,73.6
124440,25.62,0,29.4,73.7
124500,25.62,0,29.4,73.7
124560,25.62,0,29.4,73.7
124620,25.62,0,29.4,73.5
124680,25.62,0,29.4,73.6
124740,25.62,0,29.4,73.3
124800,25.62,0,29.4,73.3
124860,25.62,0,29.4,73.4
124920,25.56,0,29.3,73.4
124980,25.56,0,29.4,73.5
125040,25.56,0,29.4,73.4
125100,25.56,0,29.4,73.4
125160,25.62,0,29.4,73.3
125220,25.56,0,29.4,73.3
125280,25.62,0,29.4,73.4
125340,25.56,0,29.4,73.4
125400,25.62,0,29.4,73.5
125460,25.62,0,29.4,73.3
125520,25.69,0,29.4,73.4
125580,25.69,1.67,29.5,73.3
125640,25.69,1.67,29.5,73.3
125700,25.75,2.5,29.5,73.3
125760,25.75,2.5,29.5,72.9
125820,25.75,2.5,29.5,72.8
125880,25.75,2.5,29.5,72.7
125940,25.75,2.5,29.5,72.8
126000,25.75,2.5,29.5,72.7
126060,25.75,2.5,29.5,72.9
126120,25.75,2.5,29.5,72.8
126180,25.75,2.5,29.5,72.8
126240,25.75,2.5,29.5,72.8
126300,25.69,2.5,29.5,72.8
126360,25.75,2.5,29.5,72.8
126420,25.75,2.5,29.5,72.9
126480,25.75,2.5,29.5,72.9
126540,25.75,2.5,29.5,72.8
126600,25.81,2.5,29.5,72.8
126660,25.81,2.5,29.5,72.7
126720,25.81,0,29.5,72.6
126780,25.81,0,29.6,72.8
126840,25.75,0,29.6,73.1
126900,25.81,0,29.6,73.1
126960,25.81,0,29.6,73.9
127020,25.75,0,29.6,73.9
127080,25.75,0,29.6,73.8
127140,25.69,0,29.5,73.6
127200,25.69,0,29.5,73.8
127260,25.69,0,29.5,73.5
127320,25.69,0,29.5,73.5
127380,25.69,0,29.5,73.5
127440,25.75,0,29.5,73.6
127500,25.69,0,29.5,73.5
127560,25.75,0,29.5,73
127620,25.69,0,29.5,73.1
127680,25.69,0,29.5,73.7
127740,25.69,0,29.4,73.3
127800,25.62,0,29.4,73.7
127860,25.62,0,29.4,74.2
127920,25.5,0,29.4,74.6
127980,25.44,0,29.4,74.9
128040,25.37,0,29.3,75.3
128100,25.37,0,29.3,75.4
128160,25.37,0,29.3,76.2
128220,25.31,0,29.3,75.4
128280,25.31,0,29.3,76.1
128340,25.25,0,29.2,76.3
128400,25.31,0,29.2,76.1
128460,25.37,0,29.2,75.8
128520,25.31,0,29.2,76.4
128580,25.31,0,29.2,76.8
128640,25.31,0,29.2,76.7
128700,25.25,0,29.2,76.9
128760,25.25,0,29.2,76.1
128820,25.19,0,29.2,76.4
128880,25.31,0,29.1,76.1
128940,25.31,0,29.1,76.4
129000,25.31,0,29.1,76.5
129060,25.31,0,29.2,76.6
129120,25.25,0,29.1,76.8
129180,25.25,0,29.1,76.8
129240,25.19,0,29.1,77.7
129300,25.19,0,29.1,77.6
129360,25.19,0,29.1,77.1
129420,25.12,0,29.1,77.1
129480,25.12,0,29,77.6
129540,25.12,0,29.1,77.6
129600,25.06,0,29.1,77.5
129660,25.06,0,29,77.5
129720,25.12,0,29,78.1
129780,25.06,0,29,77.8
129840,25.12,0,29,77.2
129900,25.06,0,29,78.1
129960,25.06,0,29,78.1
130020,25.06,0,29,78.1
130080,25.06,0,29,77.7
130140,25.06,0,29,78.7
130200,25,0,28.9,77.4
